timestamp;identificao-mainframe;uso_cpu_total_%;uso_ram_total_%;swap_rate_mbs;tempo_cpu_ociosa;cpu_io_wait;uso_disco_total_%;disco_throughput_mbs;disco_iops_total;disco_read_count;disco_write_count;disco_latencia_ms
29-09-2025 10:44:53;sem-usuario-logado;0.8;38.6;0.0;98.3;0.0;17.5;0.0;2;0;2;501.06
29-09-2025 10:44:59;sem-usuario-logado;0.8;38.6;0.0;97.5;0.0;17.5;0.0;1;0;1;1001.81
29-09-2025 10:45:05;sem-usuario-logado;1.7;38.6;0.0;96.7;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:45:11;sem-usuario-logado;0.8;38.6;0.0;99.2;0.0;17.5;0.06;0;0;0;0.0
29-09-2025 10:45:17;sem-usuario-logado;0.8;38.5;0.0;99.2;0.0;17.5;0.05;56;0;56;17.89
29-09-2025 10:45:24;sem-usuario-logado;0.8;38.5;0.0;98.3;0.0;17.5;0.03;0;0;0;0.0
29-09-2025 10:45:30;sem-usuario-logado;0.8;38.6;0.0;98.3;0.0;17.5;0.0;2;0;2;500.5
29-09-2025 10:45:36;sem-usuario-logado;0.8;38.6;0.0;98.3;0.0;17.5;0.0;2;0;2;500.92
29-09-2025 10:45:42;sem-usuario-logado;0.8;38.6;0.0;97.5;0.0;17.5;0.07;0;0;0;0.0
29-09-2025 10:45:48;sem-usuario-logado;0.8;38.6;0.0;98.3;0.0;17.5;0.05;0;0;0;0.0
29-09-2025 10:45:54;sem-usuario-logado;0.8;38.6;0.0;97.5;0.0;17.5;0.03;0;0;0;0.0
29-09-2025 10:46:00;sem-usuario-logado;0.8;39.5;0.0;96.6;0.0;17.5;0.01;26;0;26;38.53
29-09-2025 10:46:07;sem-usuario-logado;0.0;39.2;0.0;99.2;0.0;17.5;0.27;2;0;2;500.78
29-09-2025 10:46:13;sem-usuario-logado;0.8;39.1;0.0;98.3;0.0;17.5;0.34;0;0;0;0.0
29-09-2025 10:46:19;sem-usuario-logado;0.8;38.9;0.0;98.3;0.0;17.5;0.05;0;0;0;0.0
29-09-2025 10:46:25;sem-usuario-logado;0.0;38.9;0.0;99.2;0.0;17.5;0.16;2;0;2;500.58
29-09-2025 10:46:31;sem-usuario-logado;0.0;38.8;0.0;99.2;0.0;17.5;0.09;0;0;0;0.0
29-09-2025 10:46:37;sem-usuario-logado;0.0;38.8;0.0;99.2;0.0;17.5;0.04;0;0;0;0.0
29-09-2025 10:46:44;sem-usuario-logado;0.0;38.8;0.0;99.2;0.0;17.5;0.0;37;0;37;27.07
29-09-2025 10:46:50;sem-usuario-logado;1.7;38.9;0.0;86.0;0.0;17.5;0.11;2;0;2;500.86
29-09-2025 10:46:56;sem-usuario-logado;0.8;39.0;0.0;97.5;0.0;17.5;0.0;2;0;2;500.96
29-09-2025 10:47:02;sem-usuario-logado;0.8;39.0;0.0;98.3;0.0;17.5;0.01;0;0;0;0.0
29-09-2025 10:47:08;sem-usuario-logado;0.8;39.1;0.0;97.5;0.0;17.5;0.0;8;0;8;125.21
29-09-2025 10:47:14;sem-usuario-logado;1.7;39.0;0.0;84.9;0.0;17.5;0.0;2;0;2;501.13
29-09-2025 10:47:20;sem-usuario-logado;0.8;38.9;0.0;98.3;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:47:27;sem-usuario-logado;0.8;39.0;0.0;97.5;0.0;17.5;0.0;34;0;34;29.45
29-09-2025 10:47:33;sem-usuario-logado;2.6;39.0;0.0;94.0;0.0;17.5;0.07;0;0;0;0.0
29-09-2025 10:47:39;sem-usuario-logado;2.5;39.1;0.0;90.7;0.0;17.5;0.0;3;0;3;333.91
29-09-2025 10:47:45;sem-usuario-logado;2.6;39.0;0.0;90.6;0.0;17.5;0.0;2;0;2;500.71
29-09-2025 10:47:51;sem-usuario-logado;0.8;38.9;0.0;98.3;0.0;17.5;0.0;2;0;2;500.85
29-09-2025 10:47:57;sem-usuario-logado;5.0;39.8;0.0;84.0;0.0;17.5;0.57;78;0;78;12.85
29-09-2025 10:48:03;sem-usuario-logado;2.5;39.6;0.0;94.2;0.0;17.5;0.01;0;0;0;0.0
29-09-2025 10:48:10;sem-usuario-logado;5.9;40.2;0.0;69.5;0.0;17.5;0.23;0;0;0;0.0
29-09-2025 10:48:16;sem-usuario-logado;0.8;39.5;0.0;98.3;0.0;17.5;0.54;0;0;0;0.0
29-09-2025 10:48:22;sem-usuario-logado;1.7;40.2;0.0;96.7;0.0;17.5;0.0;0;0;0;0.0
29-09-2025 10:48:28;sem-usuario-logado;0.8;40.7;0.0;98.3;0.0;17.5;0.0;1;0;1;1002.03
29-09-2025 10:48:34;sem-usuario-logado;0.0;40.7;0.0;99.2;0.0;17.5;0.27;0;0;0;0.0
